comment	label
[亏大, 中国, 股市]	neg
[一跌]	neg
[效仿, 劝止]	neg
[争先恐后, 企业, 消费者, 产品, 买单]	neg
[分析, 10, 股市, 记得, 朋友, 喜欢, 留花, 2017, 感谢]	pos
[明天, 3205, 验证, 进场, 信号, 点]	pos
[客, 个点, 一群, 里, 短线, 做]	neg
[开市, 涨, 股市, 跌, 说]	neg
[低开, 明天, 高, 走]	pos
[卑鄙]	neg
[行情, 一大, 哭, 跌, 波, 牛, 骂娘]	neg
[私企, 说白了, 卖, 国有股, 国企改革, 老板]	neg
[ , 15, 这是, 3200, 股票, 买, 神马, 3000, 点, 被套, 情况]	neg
[投资, 需谨慎]	neg
[打击,  , 30, 日, 情绪, 均线, 沪, 权重股, 做, 领跌, 指险守]	neg
[中国, 股市, 微调]	neg
[明天, 霸天, 大笑, 赶紧, 涨, 发图, 傲]	pos
[股,  , 沪综指, 20, 周期, 均线, 跌破, 日, 熄火]	neg
[明天, 股市, 出掉, 分, 股票, 辣鸡, 混]	neg
[箱体, 位, 支撑点, 全是, 震荡, 压力]	neg
[行情, 后发制人, 赶美, 时, 中国, 超英]	neg
[ , 下跌, 波段, 暂时, 调整, 趋势, 演变成]	neg
[新股, 停发]	neg
[写, 中, 结局, 生活]	neg
[ , 指, 上攻, 沪, 最低, 跌, 3180, 点, 创业板, 洗盘]	neg
[尾盘, 买进, 推荐, 603288, 今日, 重点]	pos
[紧紧张张, 股票, 炒点, 累, 天天, 搞]	neg
[重组, 讲, 煤炭, 钢铁, 火电]	neg
[阴线,  , 谨防, 中, 杀跌, 恐慌性, 推手, 幕后, 短线, 曝光, 抛售]	neg
[踩, 明天, 回, 大盘]	pos
[低吸, 机会, 调整]	pos
[重磅,  , 利空, 登场, 后市, 寻找, 行情, 避风港, 三大]	neg
[上方, 3200, 背凉, 令人, 点, 上证指数]	neg
[卷商, 发力, 吉祥, 明日, 大盘]	neg
[股市, 预测, 洗洗, 说, 妹, 股神]	neg
[ , 收益, 打新, 确实, 市值, 中签]	pos
[10, 日,  , 月, 信号, 抄底]	pos
[点, 必破, 期间, 两会, 3200]	pos
[]	neg
[ , 一带, 举办, 高峰论坛, 一路, 四领, 工程机械]	pos
[明天, 大跌]	neg
[涨, 胜利, 明日, 指数]	pos
[下探, 3200, 点跌, 指, 考验, 沪, 权重股, 震荡, 0.74,  , 题材, 低迷]	neg
[小腿, 脑壳, 已现, 雏形, 跑, 断头, 阴, 好昏]	neg
[ , 沪, 再创新高, 0.74, 指跌, 茅台]	neg
[没想到, 盘本, 对不起, 吸货, 低, 早晨, 想, 砸]	neg
[股通, 沪, 加息, 美, 天净, 流出]	neg
[说话, 神棍]	neg
[机构, 错, 愿赌服输, 市场, 眼光]	neg
[崩, 闭, 盘, 期待, 早日, 上市]	neg
[股, 中国, 股市, 炒, 远离]	neg
[A股,  , 权重, 萎靡, 遭, 重挫, 出逃, 大幅, 题材, 市场, 资金]	pos
[散户, 欲哭无泪]	neg
[嗨, 犊子, 萨德, 加息, 三八, 昨天, 完]	pos
[明天, 高开, 连续, 涨停, 个股]	pos
[B股, 先, 急速, 暴跌, 前几次, 趺, 跟着]	neg
[明天, 日, 10, 月, 上涨, 收盘, 上证指数]	pos
[客官]	neg
[重担, 如期而至, 收评, 挑起, 30, 杀跌, 大盘, 中阴, 线, 支撑]	neg
[累]	neg
[小明, 挣钱, 包]	pos
[ , 正, 打响, 关键性, 上演, 保卫战, 令人担忧, 一幕, 多头]	pos
[风险, 日, 江志, 利好, 现货, 操作, 政治, 建, 黄金, 3.9]	pos
[!,  , 流入, 沪, 收盘, 20.74, 股通, 亿, 资金]	pos
[明天, 结束, 良机, 陷阱, 买入, 空头, 6030, 拉升, 洗盘]	pos
[双顶, k, 死无葬, 形态, 清仓]	neg
[老乡, 周末, 两会, 走]	pos
[破位, 下跌]	neg
[真相大白, 规律, 市场, 自有]	pos
[人气, 池, 谈, 死水]	neg
[守住, 大笑, 3200]	neg
[作好, 趋势, 十年, 下跌]	neg
[钱, 几分, 割肉]	neg
[洗洗, 健康, 收评]	pos
[李大霄, 大跌, 查明, 黑嘴, 原因]	neg
[血, 两天, 450, 跑, 多亿, 流干]	neg
[A股,  , 去死吧]	neg
[直线, 江苏, 恒久, 盘尾, 挖掘, 次新股, 封板, 资金]	pos
[发生, 暴跌, 怀疑, 错, 希望, 清仓, 观望]	neg
[帖子, 访问, 抱歉]	neg
[表面, 做, 功夫, 维稳, 真]	pos
[做, 投钱, 再往, 市场]	neg
[明天, 3200, 没到]	pos
[行, 效果, 小试牛刀]	neg
[处于,  , 筹码, 窗口期, 低吸, 两会, 底部, 创, 个股, 市场]	pos
[10, 概率, 回落, 月, 冲高, 日林浦, 收阴, 测盘]	neg
[哈哈哈, 大笑, 稳跌]	neg
[历史, 12, 去年, 月份, 走势, 重演, 顶, 双重]	neg
[早盘, 推荐]	pos
[又拉到, 明天, 3216, 跌, 大盘, 点]	neg
[尾盘, 发展, 庄, 涨停, 600209, 推动, 感觉, 罗顿, 资金]	pos
[欢迎光临, 股份, 美达]	pos
[明天, 更好, 涨, 中央, 不会错, 期待]	pos
[有色, 券商, 水泥, 周五]	pos
[黑, 周四, 应验, 魔咒, 每周]	neg
[只会, 稳个, 稳, 说, 空话连篇, 毛]	neg
[狗屁不通]	neg
[法规, 没出, 前, 股东, 减持]	neg
[具备, 杀, 自杀, 杀跌, 大幅, 午后, 等于, 快速, 恐慌]	neg
[行情, 结束]	neg
[低吸, 回调, 中]	pos
[疯狂, 走势, IPO]	pos
[ , 生气, 跌, 找, 炒股]	neg
[明天, 股正, 买进, 买买, 买, 黄金]	pos
[600460]	neg
[尾盘, 狗, 意义, 维稳, 跌成, 个股, 神奇]	neg
[再拉红, 有种]	pos
[尾盘, 幻想, 拉, 学习, 侥幸, 散户, 清仓]	neg
[水]	neg
[指数, 跌, 几秒, 第二天, 拉红, 个股]	neg
[32l8, 收]	pos
[跑, 上海, 换, 亚红]	neg
[股, 巨, 震中, 一类, 脱颖而出]	neg
[光拉, 大盘]	pos
[股民, 盼头]	neg
[尾盘, 拉拉, 指数]	pos
[B, 大笑, 第一天, 想, 傻, 抄底, 调整]	neg
[某人, 稳定, 说, 只会, 资金]	neg
[请假, 今天下午, 下班, 电, 手机, 充电, 微笑, 提前]	pos
[中国, 鸟市]	neg
[幸福]	neg
[创补, 蓝筹, 跌, 护盘]	neg
[a, 股, 垃圾]	neg
[黑, A股, 烂]	neg
[叉, 买, 死叉, 死]	neg
[明天, 光头, 本周, 阳, 高点, 收]	pos
[感谢]	neg
[蛋, 完蛋]	neg
[油, 两桶, 护盘, 大笑]	neg
[养老金, 前, 黑暗, 入市]	pos
[A股, 新股, 世界]	neg
[跳空, 完, 大笑, 缺口]	neg
[阴跌, 模式]	neg
[拉高, 中化, 中油, 护盘]	pos
[挺住, 国家队]	pos
[杀戮, 买卖]	neg
[明天, 破, 3200]	pos
[缺是, 指数, 停过, 越来越, 2016, 股灾]	neg
[中投, 中, 券商, 收购, 金, 是因为]	neg
[抽, 反, 大笑, 赶紧]	neg
[杀, 发起, 片甲不留, 空头, 国家队, 冲锋]	pos
[值得, 超跌, 高送, 潜力, 袖珍, 300421, 关注, 滞涨]	neg
[油有,  , 明天, 更惨, 两桶, 拉升]	pos
[明天, 卖个, 诱多, 价钱,  ]	neg
[重组, 啟動, 水电, 粤, 胜利]	neg
[赤裸]	neg
[尾盘, 毛, 拉个, 没人, 银]	neg
[拉, 股灾]	neg
[002613]	neg
[]	neg
[风险, 系统, 逃命, 赶紧]	neg
[点, 明天, 十多个, 最少, 跌]	neg
[交税, 啰, 不卖, 不买, 装死]	pos
[算了, 嘻嘻, 不行, 关, 破, 市场, 胜利]	neg
[拉, 使劲]	pos
[应声, 大涨]	pos
[涨, 正, 收益, 负, 跌]	pos
[ , 补先, 3150, 3180, 卖, 股灾]	neg
[区別, 跳]	neg
[一枚, 600460, 好股]	pos
[高风险, 中国, 暴跌, 股市, 区]	neg
[股, 600460, 来个]	neg
[千万别, 出手]	neg
[行情, 主力, 春季, 跑, 亿, 105]	neg
[雄起]	pos
[跌, 冒进, 60, 之间, 点, 100]	neg
[!, 正, 拉开帷幕, 周线, 级别, 调整]	pos
[股, 错杀, 黄斌汉, 强势股, 机会, 大跌]	neg
[位, 跌破, 点大, 目标, 双头, 3264, 点, 成立, 2800, 3301]	pos
[十字星, 大盘, 吓住, 越来越, 个股, 建仓]	pos
[ , 600460, 好票, 士兰微]	pos
[A股, 雄起, 大盘]	pos
[比红, 春天, 绿, 好看]	neg
[老乡, 吃亏, 不让, 绝会, 稳住, 旅游, 市场]	pos
[炒股]	neg
[老乡, 公布, 期间, 走, 真的, 二会]	pos
[石油, 套, 中, 郭嘉队, 死, 慰问]	neg
[走, 恒生, 熊市]	neg
[没本事, 大笑, 醉, 厉害, 跌, 上涨]	neg
[虚拉为, 散户, 套, 大盘]	neg
[不死不活, 套]	neg
[大笑, 逆势上涨, 000295, 生意, 宝, 飞]	pos
[平衡, 锁仓, 多空, 护盘, 国家队]	pos
[千股, 真想, 亏, 时段, 跌停, 停, 股长]	neg
[ , 圈钱, 不死, 跌势]	neg
[今日, 马步]	pos
[二个月, 休息, 鼓掌]	pos
[说, 共产]	neg
[情况, 看不到]	neg
[ , 600460, 恐惧, 贪婪, 买进]	pos
[2600, 指, 高位, 指回, 沪, 做头, 道, 肯定, 中国]	neg
[好好, 典型, 垃圾, 跌, 涨]	neg
[期货, 跌成, 股指, 狗]	neg
[波段, 第一天, 下跌]	neg
[到位]	neg
[交税, 不卖, 不买]	pos
[妹涨, 草, 股票, 全是, 涨, 绿]	neg
[54321]	neg
[肉, 嘟嘟, 反反复复]	neg
[3205, 跌幅, 考验, 指数, 蓝筹, 打压, 低点, 上午, 点]	neg
[3250, 下周, 大盘, 直取, 突破, 差, 3300]	pos
[盘中, 损失, 每次, 机会, 反弹, 减少]	pos
[推出, 只顾, 圈钱, 下周, 公平交易, Ｔ]	pos
[明天, 3205, 收红, 支撑]	pos
[期货, 害人, 股指]	pos
[期货, 故事, 篇, 伯乐]	pos
[买, 手, 千万别, 管住]	pos
[不停, P0, 跌势]	neg
[情况, 猛涨]	pos
[恭喜, 抑郁症, 几万, 患者]	pos
[稳住, 维稳]	neg
[ , 600460, 好股, vv]	pos
[托, 共振, 迟早会, 不攻]	neg
[不玩, 清仓]	neg
[开干, vvv, 600460,  ]	neg
[尾盘, I, 能拉红, 拉升]	pos
[坏, 走, 进货, 修好, 卖, 看空, 减仓, 线, 空仓]	neg
[开打, 未, 可悲, 败走麦城]	neg
[自我感觉, 妖婧]	pos
[A股,  , 港资, 投资人, 配置, 国内, 全球]	neg
[观望, 走坏, 大盘]	neg
[老乡, 诱多, 上当]	neg
[拉, 摔碎, 坐下]	pos
[机会, 拉升, 逃命, 每次]	pos
[有色, 券商, 水泥, 目标]	pos
[!, 跑, 股市, 瘟疫]	neg
[跑, 损失惨重]	neg
[股票, 失望, 墨迹, 跌停]	neg
[买, 稳住, 跌]	neg
[拉, 维稳, 指数]	pos
[干活]	neg
[2913, 回补, 缺口]	neg
[上班, 点半, 国家队]	pos
[钱, 晚饭, 低吸, 赚点, 哈哈哈]	neg
[套住, 怏套, 跌停]	neg
[砸, 跌停, 千股]	neg
[韩股, 因萨德, 跌]	neg
[形态, 主力, m, 技术, 头, 走坏, 撤]	neg
[跑, 倒闭, 倒, 路, 企业]	neg
[不服, 全仓, 咋样, 买]	pos
[打出, 助, 股票, 跌, 手中, 大盘, 愉快, 卖出]	neg
[拉拉, 高, 跌, 大笑, 货出]	pos
[明天, 狂, 银行, 护盘, 砸]	neg
[筹码, 哭, 抢走了]	neg
[尾盘, 拉, 鸡毛, 妈]	neg
[牛马, 慢, 人造, 拉皮]	neg
[操纵, 手上]	neg
[货运, 足气, 砸, 盘, 结结实实, 期]	neg
[庄家, 低点, 回调, 机会]	pos
[跳]	neg
[稳定, 维稳, 成果, 卓越]	neg
[挺尸]	neg
[改, 股市]	neg
[期货, 股指, 真, 威武]	pos
[拉, 快拉, 做, 快点, 样子]	pos
[惨]	neg
[坚守, 3200, 机构, 大盘, 说, 一会, 看多]	neg
[全球, 加油, 熊冠, 看好, 癌股]	pos
[跳, 听, 口令]	neg
[熄火]	neg
[去死吧, 大盘]	neg
[吹, 没用, 常态, 现状, 说]	neg
[表演]	neg
[哈哈哈]	neg
[两点]	neg
[千股, 跌停]	neg
[拉稀]	neg
[幻想, 明天, 低]	neg
[快逃, 不行]	neg
[点, 进军, 2000]	neg
[明天, 大笑, 年底, 明, 跌到, 大跌]	neg
[大冶, 白银, 分, 08, 黄逸尘, 行情, 华矿, 3.9, 黄金, 沥青]	pos
[稍微, 节奏, 多一点, 上涨, 个股, 获利盘]	pos
[152, 清, 主力, 出逃, 熔断, 已高达, 资金, 亿元, 才刚]	pos
[有望, 冲到, 指, 沪, 寻找, 2400, 点, 支撑]	pos
[语]	neg
[盘, 时间, 砸, 两点]	neg
[期货, 作用, 股指]	pos
[本领, 高台跳水, 亏大, 庄家]	neg
[600127, 米业, 加, 蓬低, 以跌出, 大胆, 关注, 金健, 机会, 重点]	pos
[后悔, 卖]	neg
[只能, 流出, 十几天, 持续, 资金]	neg
[没事, 双底, 分时]	neg
[耐心, 必亏, 手贱, 十五天]	pos
[玩, 玩死]	neg
[两点, 跳水]	neg
[止跌, 击漏, 3044]	neg
[股民, 新, 股市, 入场, 问]	pos
[探底, 前期, 补, 单针, 腿]	neg
[守住]	neg
[没商量, 这是, 房价, 加息, 次后, 坑, 股市]	pos
[剩, 暴跌, 半小时]	neg
[灰太狼, 吃, 喜羊羊]	pos
[要死, 跌]	neg
[ , 已现, 股票, 双头, 最高点, 点为, 大部分, 3264, 2017, 年]	pos
[做, 空]	neg
[快点, 两点, 半到, 跳水]	neg
[抄底, 抢]	pos
[没维稳]	neg
[丫, 干, 丢人现眼, 趴在, 高, 真]	pos
[首要, 因素, 股性, 近期, 操作]	neg
[关门]	neg
[水, 源头]	neg
[砸, 两个, 石化, 多点]	neg
[ , 跌停]	neg
[太, 丢人]	neg
[拉点]	neg
[已坏, 此番, 跑, 回调, 趋势, 3177]	neg
[明天, 吃, 一肚子, 别跌]	pos
[拉, 倒]	pos
[真的, 调整]	pos
[散, 嘴脸, 机构, 目的, 专家, 一副, 忽悠]	neg
[半再, 一拨, 两点, 杀]	neg
[杀跌]	neg
[石油, 股市, 买单, 银行, 前, 转型, 石, 国企, 三十年, 中]	neg
[怎能说, 结束, 没进, 国家队]	pos
[跑, 不全, 套, 赶紧]	neg
[跌]	neg
[发少,  , 蓝筹, 引发, 暴跌, 新股, 抛]	neg
[淡定, 看戏]	neg
[点半, 神奇, 跳水]	neg
[波跌, 波]	neg
[东北, 建议, 建立, 萨, 美国, 监控, 中国, 古巴, 俄罗斯]	pos
[主力, 跌破, 控盘, 国家队, 3200]	neg
[高, 来得, 太, 加息]	pos
[尾盘, 明天, 诱多, 跌]	neg
[!, 3206, 跳空, 毬, 支持, 明天, 毛, 点算]	pos
[放开, 痛宰, 散户, 股指]	neg
[明天, 也许, 走, 3000, 绿, 破]	neg
[ , 加息, 美帝]	pos
[拉, 尾盘]	pos
[拉, 做, 样子, 国家队, 指数]	pos
[说谎, 股市, 跌, 活该]	neg
[大便, 泄气]	neg
[证券, 军工]	neg
[等于, 常态, 尊重, 化, 死, 作, 市场规律]	neg
[开上]	neg
[2.30, 准时, 跳水]	neg
[进攻, 空头, 防住, 防守, 国家队]	pos
[3200, 大盘, 低吸, 1950, 机会, 创业板]	pos
[抄底]	pos
[走, 坏, 线全]	neg
[彭博]	neg
[期货, 稳定, 功能, 市场, 股指]	pos
[]	neg
[ , 市, 托市, 救, 情愿, 崩跌]	neg
[跳水]	neg
[赚, 大发, 股指, 这回, 期货, 做, 融券]	pos
[爱不爱]	neg
[股指, 指数, 还敢, 跌, 影, 期货, 说, 放开]	neg
[满满, 放松, 股指, 股民, 期货, 后果, 中国, 幸福]	pos
[别怕, 国家队]	pos
[版, 2.0, 股灾]	neg
[散, 大笑, 人心]	neg
[千股, 跌停]	neg
[顶住]	neg
[紧急, 呼叫, 救世主]	neg
[一万家, 符合, 一千家, 上市, 条件]	neg
[不说, 震荡, 摊手]	neg
[!, 做, 先, 做空, 股票, 期指, 空]	neg
[狂泻, 指数]	neg
[中国, 总公司, 联通, 配合, 建筑工程]	pos
[险守, 发稿, 3200]	neg
[千股, 今儿, 跌停, 护盘]	neg
[买, 跌]	neg
[期货, 推出, 迟早会, 股指]	pos
[畸形, 造富, 胜过, 奋斗, 减持, 大小, 几十年, 背离, 上市, 非]	neg
[20, 踩, 点货, 日线, 昨天, 守住, 进, 空]	pos
[大笑, 3200, 行, 破, 点, 砸]	neg
[万般皆下品, 少买, 唯有读书高, 看书]	neg
[转换, 二八]	neg
[ , 涨, 破下, 不破, 3200]	pos
[停牌, 好玩, 千古]	neg
[解决, 阴线, 几天, 阳线]	neg
[作死]	neg
[期货, 退出, 迟早会, 股指]	pos
[越, 迷茫, 越失, 越跌, 空头, 兴奋, 多头, 越来越, 来劲]	neg
[点, 抄底, 强大, 支撑, 3200]	pos
[铁定, 破, 3200]	neg
[风险, 3200, 太, 不用, 担心, 机会, 大于]	pos
[不行,  , 先逃]	neg
[维稳, 行情, 开启, 跌, 30]	neg
[A股, 皅, 涨, 世上, 跌, 完, 月]	neg
[错, 做, 错过]	neg
[股市, 炒, 完, 房子]	neg
[退出, 中国, 股市]	neg
[速度, 割, 撤, 韭菜]	neg
[走, 折磨]	neg
[会来, 股灾]	neg
[垃圾]	neg
[大跌, 几天, 刚刚, 空仓]	neg
[跑, 胜利]	neg
[放开, 暴跌, 股指]	neg
[生意, 逆势上涨, 宝, 000295, 飞]	pos
[热点, 跌, 大盘]	neg
[股, 烂, 三成, 银行, 下跌, 带领, 目标, 上证]	neg
[神奇, 2.30, 分]	neg
[噢, 股灾]	neg
[明天, 金融风暴, 跌, 大盘, 摊手, 点, 1000]	neg
[]	neg
[求, 关门]	neg
[期货, 放开, 股指]	pos
[花样, 世界, 表演, 跳水, 请, 冠军, 郭家队]	neg
[股指, 松绑, 麻痹, 不屑, 没涨, 期货]	pos
[中国, 值得, 股市, 投资]	neg
[正式, 表演, 跳水]	neg
[崩盘, 蹦]	neg
[来得, 猛烈, 暴风雨]	neg
[国家, 预备, 跳水, 跳, 队, 精英, 花式]	neg
[5.0, 股灾]	neg
[中国, 雄起, 股市, !]	neg
[探底, 二次]	neg
[A股, 市侩, 真]	neg
[阶段性, 3175, 底部]	pos
[秒, 秒杀]	pos
[玩完]	neg
[千股, 跌]	neg
[点力, 拉巴]	neg
[跳水]	neg
[直线, 逼近, 3200, 大盘, 大逆转, 点]	neg
[只好, 临而, 不举, 趴]	neg
[癌股, 怎能不, 国际, 朕, 空头, 缴械投降]	neg
[期货, 周四, 效应, 股指, 二点]	pos
[点要, 跌破, 完, 3200]	neg
[ , 600460, 干, 大笑]	pos
[没救, 断气, 摊手, 休息, 大盘]	neg
[卖出]	neg
[割肉]	neg
[好快, 3200]	neg
[ , 代表, 涨停, 温州, 十个, 摘帽, 立贴, 私募, 证神]	pos
[百点, 来个, 长阴, 两点, 回, 神奇]	pos
[主力, 出货]	neg
[跑, 想]	neg
[大便, 跳水]	neg
[亏大, 无效, 鬼, 突破]	neg
[股市, 散户, 2890, 暴跌, 抄死底, 撤离, 等待]	neg
[暴跌, 热烈祝贺]	neg
[耍, 完]	neg
[千股, 跌停, 胜, 胜利]	neg
[跌破, 不破不立, 3200]	neg
[往下, 点半, 干, 神奇]	pos
[跑, 净, 100, 多亿, 不错]	neg
[这是, 涨, 跌, 不涨, 飞快, 股票, 大盘]	neg
[拉]	pos
[多远, 跌停, 离千股]	neg
[不堪一击, 闻风丧胆]	neg
[跌, 缺爹]	neg
[可恶, 搞, 加息, 老美太, 突然袭击]	neg
[死, 国家队, 不屑, 套, 出手]	neg
[a, 股, 10, 股票, 支, 极限]	pos
[600127, 米业, 盘小价, 关注, 金健, 调整, 重点, 到位]	pos
[]	neg
[期指, 直线, 小心, 拉升]	pos
[热情]	neg
[好久, 表演, 跳水]	neg
[危险, 血, 股市, 抽, 加息]	neg
[建议, 股市, 散户, 脱离, 2980, 抄底, 等待]	pos
[资本, 禁止, 惯例, 经营, 券商, 国际, 营盘, 行业]	neg
[2200, 明天, 跌破]	neg
[玩, 撤退, 慢慢, 国家队]	neg
[晕]	neg
[收回, 波, 跌, 大笑]	neg
[交易]	neg
[今破, 3200]	neg
[短视, 缘于, 技术, 大盘, 断头, 一意孤行, 线]	pos
[转板, 死, 三板]	neg
[跳水, 估计, 两点, 大盘]	neg
[疯]	neg
[韭菜, 割, 行情, 草泥马]	neg
[周期, 调整]	pos
[坐等, 二点]	neg
[天天, 太, 跌跌, 股市, 悲惨]	neg
[ , 600460, 调整, 机会, 买]	pos
[下跌, 破位, 3000, 目标]	pos
[]	neg
[玩, 天天, ipo]	neg
[短期, 调整, 震荡, 谎]	neg
[文化, 中心, 筹码, 抢购, 融合, 研发, 科技, 买入, 建, 创意]	pos
[跌破, 跳水, 反弹, 3200]	neg
[尾盘, 快抢, 抢, 大笑, 快快, 拉红]	pos
[好好, 砸]	neg
[墨迹, 不赞]	neg
[散户, 不行, 在乎, 大盘]	neg
[横盘, 小幅, 几天, 小心, 过后, 上证指数, 反弹]	pos
[李大霄, 活跃, 额]	neg
[结束, 603058, 良机, 陷阱, 买入, 空头, 永, 拉升, 洗盘]	pos
[放任, 审批, 公司, 胡作非为, 大小, 上市, 非]	neg
[开干,  , 牛, 好股, 600460]	pos
[外逃, 月, 大盘, 半个, 100, 资金, 亿往]	pos
[为国, 护盘, 韭菜]	neg
[天天, 玩球, 跌]	neg
[方向, 日后, 3100, 下跌, 16]	neg
[拉高, 石油, 黑色, 出货, 创业板, 暴跌, 期货, 有色]	neg
[指数, 几个, 跌, 个股, 跌停, 小盘股, 市场]	neg
[求求, 别跌]	neg
[暴跌]	neg
[工作, 股市, 维稳]	neg
[中国, 万岁, 梦]	neg
[ , 切记, 忠告, 钱, 不到, 退出, 赚, 散户, 资金]	neg
[不妙, 走势]	neg
[接盘]	neg
[盘, 养老金, 砸, 入市]	neg
[成交额, 放空]	neg
[ , 几百亿, 了不起]	neg
[有色, 注视, 水泥, 调整]	pos
[民企, 优秀, 国企, 垃圾]	neg
[型, 胜利, V]	pos
[收盘, 跌, 大盘]	neg
[引导, 资本, 社保, 主力, 正, 市场, 基金, 担当]	pos
[破, 大盘, 太弱, 3200]	neg
[李大霄, 稳定, 正, 汇, 外, 趋稳, 股票市场, 储备]	pos
[股, 直线, 异动, 券商, 飙升, 新, 证券, 股次, 中原]	pos
[撑, 可怕, 国家队, 跳水]	neg
[会返, 转]	neg
[开干, 600460]	neg
[明天, 3230, 反弹, 大盘]	pos
[点, 3134, 坐等]	neg
[雄起]	pos
[第二次, 躲过, 第三次, 反正, 股灾]	neg
[小小, 机构, 愚蠢, 下跌, 油价, 惊弓之鸟]	neg
[妈, 跌, 皮]	neg
[A股, 大跳水, 指, A50, 走, 凶多吉少, 清仓]	neg
[滴汗, 股市, 似, 抢劫]	neg
[献花, 厉害, 的哥]	pos
[跌停, 千古]	neg
[明天, 股指, 王八, 王七都, 砸, 期货, 盘, 交割]	neg
[ , 政府, 3200, 开干, 底, 600460]	neg
