read_count	comment_count	title	author	release_date
804	0	看着天天都是再卖，今天竟然涨停[亏大了]	股友0lg8xU	02-17
7624	12	老子持有两年了你他么终于来了个涨停[不屑]	山城股民yu	02-17
1269	0	2016年1月5号涨停后，没有出现7以上的涨，看来	浙江宁波手机网友	02-17
1059	0	什么题材？涨停	江苏南京手机网友	02-17
788	0	船舶就你没动	彰显王者	02-17
3102	1	终于修成正果，还不得三大板呀	辽宁沈阳手机网友	02-17
3131	2	去年拿到今年终于等到涨停了，去年就看好军工板	萱草忘忧2	02-17
713	0	可能航母要下水了！	小栋栋宝宝1976	02-17
3533	2	一柱擎天	上海网友	02-17
4004	3	封板后卖单有点太多了啊！下午还顶得住不，大盘	yiwenqing	02-17
868	0	涨停封得有点早吧	王府老井兼黄金	02-17
4707	2	好不容易涨停了，是跑呢还是再留留呢，	股友arkQWh	02-17
807	0	还好这几天在看中签的镇海股份 没把锚链卖了	不自觉的韭菜	02-17
813	0	妈蛋，还等着到8元全仓呢，操！	三千取二	02-17
3780	2	反对！涨停是无效的	gong为天下	02-17
744	0	早上刚割肉，立马涨停，太气人了。	盘古15798	02-17
4686	0	涨停原因揭秘：据中国证券报消息，从有关人士处	天道酬勤37029	02-17
653	0	全出货，7,8成本。这股，别指望连续！	买入卖出自然	02-17
375	0	啥意思？卖不卖	那年烟花81385	02-17
541	0	三年未动，厉害！	买入卖出自然	02-17
2983	1	涨停是有原因的，有重大利好	广东广州网友	02-17
535	0	才NMB割了就涨停	少钩鈏莪3	02-17
3393	2	妖不妖，看明天！！	肉丝菜鸟	02-17
9168	7	涨停板9.22进入10万股，周一涨停可期	笑看股市涨...	02-17
406	0	什么情况	蛙声阵阵	02-17
519	0	正想下手的，拉涨停了	hkllwf	02-17
1320	1	涨停板出货，提醒了哈，撤离或减半。	霸王戏虞姬	02-17
387	0	家猫要变老虎！	猫猫铁粉	02-17
670	0	下周可能还有板 都不要说三道四了 大忽上当	广东西南	02-17
497	0	卖单为何还这么大	yiwenqing	02-17
1815	2	太伤自尊了，刚刚割肉卖掉，它涨停啦！	贵州贵阳网友	02-17
454	0	抓了乐凯4个点，可谓刀口舔血。刚换亚星就板，	谁是你的情人	02-17
354	0	家猫变老虎	猫猫铁粉	02-17
9069	5	应该是国产第一艘航母有消息了	吉林长春手机网友	02-17
511	0	握草，这是什么情况	yiwenqing	02-17
3479	3	10块多的本，还需要再来一个	股友lJlUME	02-17
574	0	很明显主力天天压盘在吸筹	锚链110	02-17
502	0	抛得人好像不好接回来了 等高位接吧	锚链110	02-17
417	0	呼叫锚链哥！	以茎制洞02	02-17
5142	5	[哭]一早忍不住8.37卖光了，太卑鄙的主力！	fff全民	02-17
457	0	你们都骂狗链子 大忽上当	广东西南	02-17
503	0	内部交易，日	Z辰名	02-17
6294	7	买入凶猛，明天继续涨停	广东广州网友	02-17
423	0	今天是什么鬼？	湖南长沙手机网友	02-17
376	0	太它妈卑鄙了	中国手机网友	02-17
469	0	出啥事了，这是咋了	李天腾	02-17
7443	4	知道什么是主力了吧？	红药水	02-17
1185	1	草你妈，昨天刚割肉了一万股	linden431	02-17
622	0	我靠，瞬间回本！感谢主力，耗时一年，我终于走	金木水火土s6	02-17
426	0	多年没见到涨停[鼓掌]	天道酬勤37029	02-17
455	0	有什么消息要出了？	给你看个宝贝	02-17
3094	3	引发军工涨停潮[鼓掌][大笑][胜利]	提莫小小小...	02-17
353	0	牛逼	小股东的落魄	02-17
248	0	猛	吉林长春手机网友	02-17
593	0	想不想赌中国一重重组？	再勇创新高	02-17
1522	3	哈哈哈全仓一支	LZQ12345	02-17
7853	5	《中国航母第一龙头：抚顺特钢》	股市面壁思过	02-17
446	0	船泊龙头	强者只追涨停股	02-17
406	0	心碎，前两天卖完，还准备入的，没机会了	哼妹纸3103	02-17
366	0	进不去了吧	锚链110	02-17
353	0	什么情况	Flyup	02-17
226	0	然并卵	丨易水寒丨	02-17
1737	1	今晚出公告快进	菜鸟NO0	02-17
955	1	啥意思，突然拉你MB啊，怕了吧	GG4321	02-17
396	0	补涨	锚链110	02-17
336	0	搞事情	新手小呆	02-17
395	0	有本事退市，别死你妈	金木水火土s6	02-17
1825	1	自16年3月持此股至今，从未大跌，从未大涨，有	金木水火土s6	02-17
876	1	天天跌，你都跌了一年了	Victor0910	02-17
6660	6	谢天谢地昨曰卖了亚星改新彊众合。拉回11个点。	熔真假顾恋	02-17
240	0	中国股市万岁 目标9988点	更神韵宽	02-17
386	0	周线大跨度底背离，厉害了我的哥，四大国有银行	怖忧心黯淡	02-17
291	0	这狗链子股不行，还他妈军工呢？象军母，上午4O	竿鲜嫩孤立印	02-17
252	0	真忍不住了！ 死了庄了	震昼夜思玄燕	02-17
1361	0	1月24日，亚星锚链发布业绩预告，公司预计2016	锚链110	02-17
362	0	都没主力在玩	锚链110	02-17
494	0	真是做锚链的沉底了	河南郑州网友	02-16
539	0	垃圾中的战斗机	渔来鱼旺	02-16
512	0	跑输大盘	给你看个宝贝	02-16
1567	1	亚星锚链是不是要退市了？	江苏连云港手机网友	02-16
514	0	都卖了吧，留着这个股票，没有任何的意义，我没	浙江绍兴网友	02-16
441	0	练气功	浙江宁波手机网友	02-16
468	0	我也是脑残怎么买了这垃圾货	湖北武汉手机网友	02-16
2413	3	三百股。亏损八十。怎么办呢	江苏泰州手机网友	02-16
1977	3	清仓走人	股友X7BVmR	02-16
578	0	明日止损	四川成都手机网友	02-15
690	0	明曰除非阳包阴，否则.......但这是不可能的。	四川成都手机网友	02-15
534	0	陶母狗还不减持，要跌到0.1元了！	中国手机网友	02-15
691	0	又是一个新年度，选择哪一只个股决定你一年的投	破巍褐宛又	02-15
592	0	8元	山东手机网友	02-15
708	0	亚新猫脸，必跌	yaolaoda	02-15
651	0	真是无语了，这点位应该上9元的哎	LZQ12345	02-15
539	0	大盘涨你装屎，大盘跌你拉稀	江苏连云港手机网友	02-15
462	0	妈的	中国手机网友	02-15
552	0	没主力都散户	锚链110	02-15
483	0	垃圾	新手小呆	02-15
698	0	7.77元来抄底，主力还没有吸够筹码，等	yaolaoda	02-15
520	0	狗链子，你们还没有卖，脑残	辽宁沈阳手机网友	02-15
1974	2	庄哥：青龙管业图形能成四川双马或者三江购物？	华尔街老亨	02-15
827	0	举报有人故意打压股价 不让涨 那么大单压盘很明	锚链110	02-15
612	0	此股没主力，别奢望突破了，绿帽子还得戴着	金木水火土s6	02-15
1978	4	多久没看见涨停了	风中叮咛丶	02-15
571	0	是谁圧那么大的单?举报!	四川成都手机网友	02-15
717	0	守了你半年之久，亏得我卖血呢！回点吧，要不都	金木水火土s6	02-15
629	0	锚链 咱也拉一下？	给你看个宝贝	02-15
4005	5	8.48买进六万股 赌一把	雋鹰	02-14
2207	3	怎么就选了你这个垃圾  拿了几个月要死不活	wqj77	02-14
953	0	该股已没有拿着的必要，阴跌漫长，越早离场损失	辽宁沈阳网友	02-14
956	0	今天是窗口日，定方向	大同风	02-14
735	0	两市那么多好股，不要买这个票了，求你了	浙江绍兴网友	02-14
871	0	g食品安全环保产业的强基；行业的翘楚——00263	凯帝金旺哥	02-14
1705	0	央企的加减法有望再次实现突破。继中国中车、宝	锚链110	02-14
788	0	在这个价位卖了的是败家仔。	四川成都手机网友	02-14
1046	0	赌南北船合并	锚链110	02-14
1765	1	目前该股处于资金高度控盘状态	四川绵阳网友	02-13
3488	3	目前该股处于资金高度控盘状态	红药水	02-13
846	0	[不赞]	山东手机网友	02-13
1887	9	垃圾	锚链110	02-13
824	0	垃圾	新手小呆	02-13
1112	0	陶家的确是‘庙小妖风大，水浅王八多’!	n1434268068...	02-13
4321	5	不得不说，买亚星锚链的都是脑残，包括我，卖了	河南郑州网友	02-13
1042	0	明天情人节，不送个红包让大家过个安静、祥和、	金木水火土s6	02-13
995	0	王八，船舶股否那么发奋，就你缩头呢？	金木水火土s6	02-13
909	0	王八股，一打一缩头。	想赢不怕输N01	02-13
1512	0	（002585）2017年利润将新增150％	梦想永远存在	02-13
1499	1	300576  可遇不可求 洗盘结束  高手速来	牛股圣手	02-12
1476	0	有人知道最近的股东人数是多少吗？	风吹草888	02-12
4152	0	给大家打打	西瓜次郎	02-10
3062	2	亚星锚链不死几个高管，股价是万万上不了滴，泰	三太并一泰	02-10
1642	0	买了放手里作申购新股的市值的料，俗称王八股。	想赢不怕输N01	02-10
2256	1	破股一只，浪费了我大好的行情，割肉走了，麻蛋	河南郑州网友	02-10
1653	0	你们都说做狗链子的 咋天就卖了 买的潍柴重机涨	广东西南	02-10
1517	0	中国股市万岁 目标9988点	股神高买低卖	02-10
1880	1	每天跌一点，牛逼	股友7HjQCo	02-10
0	1	2	3	4
1426	0	亚星猫链 奶奶的	鸿运当头0b29xf	02-10
1336	0	完蛋了	股友kVHIiJ	02-10
1463	0	婊子公司，流氓企业，骗子团队，全了!	n1434268068...	02-10
1645	0	这狗链子股不行，还他妈军工呢？象军母，上午4O	内蒙古手机网友	02-10
1534	0	谢天谢地昨曰卖了亚星改新彊众合。拉回11个点。	云南西双版纳手机网友	02-10
3206	1	巨力索巨两个板，亚星即将起航	红桃九	02-10
1477	0	尼玛天天跌，对你没有信心了	湖北武汉手机网友	02-10
1800	1	没庄？	给你看个宝贝	02-10
1453	0	真忍不住了！ 死了庄了	股票实习生1987	02-10
1407	0	你妈逼，不要买了	浙江绍兴网友	02-10
1886	0	物极必反	红药水	02-09
4882	4	周线大跨度底背离，厉害了我的哥，四大国有银行	吉林手机网友	02-09
1602	0	怎么这么费劲啊	股友v不发给谁	02-09
1509	0	世界都不好了	股友V型被封	02-09
1583	0	明天加油	股市老黑	02-09
5303	8	明天看我的	股友续回顾	02-09
1644	0	做狗链子的 他能涨么 都是傻子	广东西南	02-09
1441	0	垃圾公司！套了两年多，跌不停	江苏南京手机网友	02-09
1484	0	半死不活……	东财网友911...	02-09
1448	0	SB，不要买了，越买越跌啊！	浙江绍兴网友	02-09
1439	0	垃圾	锚链110	02-09
1830	1	不要买了，亲们	浙江绍兴网友	02-09
1720	0	无意苦争春，一任群芳妒	你们这帮渣渣	02-09
1442	0	光托不买	湖南长沙手机网友	02-09
1763	0	002342涨停了，亚星能跟上吗？	波波6688	02-09
1414	0	这婊子企业太贱了，应该改名为‘（陶）金莲’锚	n1434268068...	02-09
1340	0	大盘在涨，麻烦动动。。。	河南三门峡手机网友	02-09
1646	0	“自己人”都被套 这些上市公司的便宜不要随便	锚链110	02-09
2172	0	现如今的A股，不论你是谁，哪怕是上市公司“自	锚链110	02-09
1531	0	今日来个板	n1381137549...	02-09
1546	0	9.46	内蒙古手机网友	02-09
1683	0	警惕创业板破了1957点、回调目标位1941点、影响	碎碎x念	02-08
1608	0	亚星的庄家天天挨骂  就是涨的漫 庄家实力不行	中银通	02-08
1576	0	这股病不轻	天道酬勤37029	02-08
1551	0	这比股也不向军工，.是做狗链子的吧，你他妈真	内蒙古手机网友	02-08
3424	3	果真买错了。下次可不能买这种票。	财富是梦想...	02-08
1533	0	熊人喜欢暴力[加油]	大同风	02-08
4176	4	你向军工股吗，你是军工股的孙子，业绩没用，你	内蒙古手机网友	02-08
1608	0	他妈啥涨你都不动，真你妈坐的稳，	金木水火土s6	02-08
2578	2	量能放大	锚链110	02-08
1698	0	兄弟们 齐心合力把1890干起来！！！	股友a6wzNl	02-08
1485	0	你妈蛋，不要买这个垃圾啦！	浙江绍兴网友	02-08
1430	0	不要买这个垃圾了，有病啊！	浙江绍兴网友	02-08
1569	0	你妈逼，不要买了。	浙江绍兴网友	02-08
1754	0	5强烈看好业绩高速增长绩优股票002637赞宇环保	牛红哥哥	02-07
1843	0	自从员工持股计划你一直没涨过	金木水火土s6	02-07
1454	0	都卖了吧一年多还在这里 想死	江苏手机网友	02-07
1557	0	都是些散户在玩 还交易什么	锚链110	02-07
1598	0	还会下？	好上高铁	02-07
1530	0	不要买了，亲，两市有那么多的好股票，非得买这	浙江绍兴网友	02-07
1415	0	别人涨的时候，你不涨。别人跌的时候，你跌的比	安徽蚌埠手机网友	02-07
1422	0	下午跳水！	辽宁盘锦手机网友	02-07
1460	0	昨天大涨你不涨，今天又跌，这是要干嘛呢！每天	江苏手机网友	02-07
2485	1	快收购了	锚链110	02-07
1949	0	100亿要约收购，股价10元	吉林长春手机网友	02-07
1691	0	有大企业要收购，故意打压股价！	吉林长春手机网友	02-07
1391	0	狗庄	涛声依旧91856	02-07
3279	3	2016有涨停过吗？	坚强的童童	02-06
1480	0	此股真不要脸！	云南西双版纳手机网友	02-06
1717	0	抛单怎么那么大	锚链110	02-06
1574	0	这，我胆子小，	卖牛豆豆	02-06
1567	0	原来是个拉圾股	JY1688	02-06
1534	0	该起来了,这么低价	JY1688	02-06
2925	2	拉高出货啊，快跑啊	山东济南手机网友	02-06
1825	0	第三艘航母2015年开始在上海建造	JY1688	02-06
2174	0	不知今年庄家是否有动作	小小鹏61538	02-03
1652	0	小碎步	上海手机网友	02-03
7975	5	收盘8.5元，明天9.35	股神靚哥	02-03
3588	0	亚星锚链并购是必然	中国网友	02-03
2697	1	还不快跑 拉圾庄家	广东西南	02-03
2185	0	不管赚不赚钱，反正留亚星过年是年尾红，年头也	虚空的空	02-03
3576	0	南北船，钢构，中船防务，亚星合并。	股神靚哥	02-03
2293	0	下午有基金再次进场！	股神靚哥	02-03
1937	0	大点干，早点散！	股神靚哥	02-03
3842	1	第一艘航母命名山东号，即将下水	JY1688	02-03
6780	1	差距的诱惑！	三太并一泰	01-29
3973	0	没有一个机构看好的股，缺乏人气，只能靠大盘高	河北石家庄网友	01-26
3539	0	好浪费时间，这股	鹏鹏好	01-26
3439	0	业绩下滑，说明核心技术没有	河北石家庄网友	01-26
8120	6	好厉害的股，把人都搞成了忧郁症了！	江苏手机网友	01-26
0	1	2	3	4
3526	0	根本没人玩，看那换手！还敢不敢再低点	小嘟嘟龙	01-26
6856	2	周五军工板块涨幅达1.84%,猫链一个点都不到,太	安徽芜湖网友	01-22
3501	0	麻烦你也想想，都多久了，没希望	新手小呆	01-26
5555	3	套了2年了，市值越来越少	财哥财哥	01-25
3480	0	持有个把月了，毫无起色啊。。。	上海网友	01-25
3390	0	真是垃圾	天柱雄峰	01-25
3874	1	幽灵吧	还在亏损的小散	01-25
3492	0	过年了，给个好彩头	新手小呆	01-25
3403	0	割肉盘还有没有？感觉不好就跑吧	福建福州手机网友	01-25
3624	0	收起嬉皮笑脸，面对现在的*ST黑豹，广西南宁人	重庆手机网友	01-25
3554	0	今日？	好上高铁	01-25
6678	1	8元估质过高，4到5元差不多。员工工资都发不出	中国手机网友	01-24
3475	0	不可以不涨了！	云南曲靖手机网友	01-24
59881	10	601890:亚星锚链2016年年度业绩预减公告	亚星锚链资讯	01-25
3425	0	垃圾链	新手小呆	01-24
3658	0	这货年前就这样了。没什么前途。也就80了 ，大	虚空的空	01-24
4122	0	为什么买这个不买船舶呢，这货永远是落在后面只	两眼无神望	01-23
3819	0	8元不买还要等什么时候呢？	红桃九	01-23
3816	0	从2007至2017，我总是持股过年[滴汗][滴汗][滴	中国手机网友	01-23
3640	0	散户股，短视行为，几毛钱也高抛低吸了[滴汗][	喜啦啦	01-23
4705	1	亚星狗链是伪军工	hao麻烦	01-23
3500	0	反弹结束，散户们可以跑了	福建福州手机网友	01-23
3434	0	半天了，还是这	新手小呆	01-23
4728	2	今天涨停，期待吧	股友GMcMrA	01-23
3956	0	要大反弹了，有人在8.40协议换手	Plato1	01-23
3901	1	来个涨停[胜利]	陆品小国	01-23
3677	0	多空双方争夺重	古慢竿芳古	01-22
3795	0	大盘必然下沉	第一财经股	01-22
3713	0	指标股萎靡不振	股市老黑	01-22
4181	1	大盘无下跌之理	拉煤王	01-22
4105	0	到周五收盘已经三分之一仓了，估计不会再跌了	狐狸打猎人2	01-21
5413	2	从今天起，两个月谁也不发帖，不知这个股会不会	喜啦啦	01-20
3983	0	谁亏钱还不一定。	打暴空头的头	01-20
5251	2	多么明显的压盘	股如渔	01-20
4100	1	陶氏婊子又出去卖啵[亏大了]	n1434268068...	01-20
3914	0	又进入心电图状态[为什么][为什么]	江苏连云港手机网友	01-20
3892	1	穷庄本色	广东肇庆网友	01-20
3974	0	员工高价持股 高管低价减持 辣鸡公司的嘴脸	n1431773585...	01-20
4331	1	年前进点货呵，跌一点进一点[想一下][不说了]	喜啦啦	01-20
6296	3	不知什么时候停牌重组[为什么][想一下]	喜啦啦	01-19
4268	1	换手还是超过了0.5%，还是要继续缩量才好	福建福州手机网友	01-19
3657	0	一个卖猫链的有什么前途    名字都写错了	菜鸟NO0	01-19
3404	0	给老子跌掉了13%，妈的逼，你有本事继续，老子	金木水火土s6	01-19
3184	0	强拉硬拽3100，无语	山西运城网友	01-19
3310	0	年钱能跌到7.5就好了，	山西运城网友	01-19
5214	5	用到‘磨’这招，多数都是穷庄	广东肇庆网友	01-19
3258	0	吃了半饱，剩下的年后！	椰风or海韵	01-19
3204	0	快到地量了	福建福州手机网友	01-19
6555	8	吹个牛  从炒股 开始 我任何股都没赔过钱！因为	北京手机网友	01-19
3510	0	主力你是不是傻	poiuy1234	01-19
4688	1	抛，抛，抛，不破不立	福建福州手机网友	01-19
3062	0	地量	锚链110	01-19
6184	4	[围观][围观]三角破位超跌啊。[围观][围观]其实	神之鬼魂	01-19
4423	1	不在沉默中死去，就在沉默中爆发，亚星不哑，你	喜啦啦	01-19
3633	1	想抛的抓紧，年后会继续暴跌	福建福州手机网友	01-19
4561	1	又有五万股认赔出局	福建福州手机网友	01-19
2314	0	强烈建议想赚快钱的别买此股，想做T赚差价的也	福建福州手机网友	01-19
4292	2	现在让想走的人快点走，也是一件好事，套牢盘认	福建福州手机网友	01-19
1498	0	想割的快点割吧，离过年没几天了，卖点钱买年货	福建福州手机网友	01-19
1435	0	主力今天上班了。	越来越好16	01-19
1475	0	散户自娱自乐中，主力已经放弃治疗	福建福州手机网友	01-19
2554	5	技术派基本抛掉了，因为已经破位	广东肇庆网友	01-19
4009	2	一根阳线改变心情，俩根阳线改变看法，三根阳线	福建福州手机网友	01-19
1380	0	主力下班了？	越来越好16	01-19
1431	0	这股已经被散户控盘了，完全可以对倒拉升了[大	福建福州手机网友	01-19
4445	3	8.15挂单的朋友，这么想卖就低俩分钱割了算了，	福建福州手机网友	01-19
1380	0	都这个价位了，还在不停的割肉，真的是股神般的	福建福州手机网友	01-19
1370	0	现在还在割肉的朋友都说说你们亏了多少吧	福建福州手机网友	01-19
1339	0	就剩些散户在玩了	锚链110	01-19
2042	1	6018920军工板块中的一匹黑马。	山东临沂网友	01-19
1411	0	妈的，今天再跌找尔娘算帐	四川成都手机网友	01-19
2562	2	股市里只剩下老韭菜了，好难骗。你盯着我手里的	辽宁大连手机网友	01-18
4239	0	买入买入再买入，狗庄贪得无厌还想血筹，门都没	江苏常州手机网友	01-18
3361	5	好无聊，买了你，想给你唱赞歌的，小编编，不给	喜啦啦	01-18
2770	1	这家伙 利好跌  利空跌  放量跌  缩量还是跌！2	北京手机网友	01-18
1571	0	0000	河北唐山网友	01-18
